name,distance,planet_type,orbital_radius,orbital_period,hostname,mass,esi,st_temp,st_radius,st_mass
1RXS J160929.1-210524 b,454.0,Gas Giant,330.0,6505.9,1RXS J160929.1-210524,3000.0,0.049538687,4060.0,1.256862900934236,0.85
2M0437 b,419.0,Gas Giant,118.0,3110.6,2MASS J04372171+2651014,1271.3136,0.068690673,3100.0,0.84,0.17
2MASS J01033563-5515561 AB b,154.0,Gas Giant,84.0,1767.2,2MASS J01033563-5515561 A,4131.79,0.25708915393710335,5437.562538702091,1.256862900934236,0.19
2MASS J01225093-2439505 b,110.0,Gas Giant,52.0,593.2,2MASS J01225093-2439505,7786.5,0.078268075,3309.0,0.36645,0.353185
2MASS J02192210-3925225 b,131.0,Gas Giant,156.0,5878.1,2MASS J02192210-3925225,4417.837,0.056534469,3381.67,1.256862900934236,0.9393564616929898
2MASS J04414489+2301513 b,393.0,Gas Giant,15.0,411.0,2MASS J04414489+2301513,2383.6,0.070633378,5437.562538702091,1.256862900934236,0.019
2MASS J12073346-3932539 b,210.0,Gas Giant,55.0,2885.9,2MASS J12073346-3932539,1589.15,0.069159148,5437.562538702091,1.256862900934236,0.9393564616929898
2MASS J19383260+4603591 b,1293.0,Gas Giant,0.92,1.1115674,2MASS J19383260+4603591,603.877,0.096041501,8868.67,1.256862900934236,0.9393564616929898
Kepler-451 c,1293.0,Gas Giant,6.962942017335215,4.0,2MASS J19383260+4603591,511.70374,0.18418114,8868.67,1.256862900934236,0.9393564616929898
Kepler-451 d,1293.0,Gas Giant,6.962942017335215,0.117727585,2MASS J19383260+4603591,559.378,0.067756094,8868.67,1.256862900934236,0.9393564616929898
2MASS J22362452+4751425 b,227.0,Gas Giant,230.0,4505.7,2MASS J22362452+4751425,3972.875,0.072138539,4033.0,0.641152,0.63
BD+03 2562 b,3492.0,Gas Giant,1.3,1.3193703,BD+03 2562,2034.112,0.073659806,4095.0,32.35,1.14
BD-06 1339 b,66.0,Neptune-like,0.0428,0.010677618,BD-06 1339,8.5,0.23950512,4042.0,0.686355,0.63
BD-06 1339 c,66.0,Gas Giant,0.435,0.34469542,BD-06 1339,53.0,0.40240802,4042.0,0.686355,0.63
BD-08 2823 b,135.0,Neptune-like,0.06,0.015331964,BD-08 2823,12.7132,0.20560321,4746.0,1.256862900934236,0.74
BD-08 2823 c,135.0,Gas Giant,0.68,0.65051335,BD-08 2823,104.0,0.35783763,4746.0,1.256862900934236,0.74
BD-10 3166 b,275.0,Gas Giant,0.04,0.009582478,BD-10 3166,187.5197,0.066523104,5393.0,1.256862900934236,1.01
BD-11 4672 b,89.0,Gas Giant,2.36,4.5,BD-11 4672,206.5895,0.092851813,4228.0,0.67,0.59
BD-11 4672 c,89.0,Neptune-like,0.3,0.20314851,BD-11 4672,15.37,0.52005613,4228.0,0.67,0.59
BD-13 2130 b,3018.0,Gas Giant,1.66,2.0,BD-13 2130,3108.3774,0.096496005,4572.33,16.73854,0.9393564616929898
BD+14 4559 b,161.0,Gas Giant,0.78,0.7362081,BD+14 4559,330.5432,0.38456025,4869.17,0.862189,0.9393564616929898
BD+15 2375 b,2505.0,Gas Giant,0.576,0.41943872,BD+15 2375,337.21763,0.074553831,5437.562538702091,1.256862900934236,0.9393564616929898
BD+15 2940 b,1391.0,Gas Giant,0.539,0.37645447,BD+15 2940,352.78,0.06847007,4796.0,14.7,1.1
BD-17 63 b,112.0,Gas Giant,1.34,1.8,BD-17 63,1620.9,0.19289263,5437.562538702091,1.256862900934236,0.741
BD+20 2457 b,5023.0,Gas Giant,1.05,1.0392882,BD+20 2457,6807.63,0.074700228,4181.98,46.0451,0.9393564616929898
BD+20 2457 c,5023.0,Gas Giant,2.01,1.7,BD+20 2457,3963.17,0.074505711,4181.98,46.0451,0.9393564616929898
BD+20 274 b,4314.0,Gas Giant,1.3,1.6,BD+20 274,1334.886,0.08764565,4391.0,1.256862900934236,1.17
BD+20 594 b,585.0,Neptune-like,0.241,0.11416838,BD+20 594,22.2481,0.30647469,5766.0,1.08,1.67
BD+45 564 b,175.0,Gas Giant,0.83,0.84298426,BD+45 564,432.24663,0.36203391,5004.0,1.256862900934236,0.81
BD+48 738 b,2843.0,Gas Giant,1.0,1.0748802,BD+48 738,289.2253,0.085492126,4414.0,11.0,0.74
BD+48 740 b,2174.0,Gas Giant,1.7,2.0,BD+48 740,540.311,0.10978786,5437.562538702091,1.256862900934236,0.9393564616929898
BD+49 828 b,1442.0,Gas Giant,4.2,7.1,BD+49 828,508.5,0.35861276,4943.0,9.20378,0.9393564616929898
BD+55 362 b,171.0,Gas Giant,0.78,0.7271732,BD+55 362,228.83645,0.38367829,5012.0,1.256862900934236,0.909
BD+60 1417 b,147.0,Gas Giant,1662.0,67794.6,BD+60 1417,4767.4261,0.061591603,4993.0,0.797,1.0
BD+63 1405 b,124.0,Gas Giant,2.06,3.3,BD+63 1405,3305.4154,0.23063409,5000.0,1.256862900934236,0.816
CFBDSIR J145829+101343 b,75.0,Gas Giant,2.6,27.5,CFBDSIR J145829+101343,3337.1,0.071622779,580.5,1.256862900934236,0.021
CFHTWIR-Oph 98 b,2167.1687368622206,Gas Giant,200.0,22027.4,CFHTWIR-Oph 98 A,2479.0616,0.044671746,2320.0,0.245,0.0147
CHXR 73 b,621.0,Gas Giant,210.0,5146.9,CHXR 73,3994.486,0.25708915393710335,5437.562538702091,1.256862900934236,0.35
COCONUTS-2 b,36.0,Gas Giant,7506.0,1101369.9,COCONUTS-2 A,2002.319,0.071408901,3406.0,0.388,0.37
